id,titulo,subtitulo,autores,data,paginas,categorias,idioma,descricao,imagem
670bAQAAMAAJ,"Ensaios escolhidos: Da prosa de ficção, do ensaísmo e da crítica literária",,Ivan Junqueira,2005,326,Crítica literária,pt-BR,,http://books.google.com/books/content?id=670bAQAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
H14tAAAAYAAJ,Ensaios escolhidos: De poesía e poetas,,Ivan Junqueira,2005,720,Crítica literária,pt-BR,,http://books.google.com/books/content?id=H14tAAAAYAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
1YtOAQAAIAAJ,Guia politicamente incorreto da história do Brasil,,Leandro Narloch,2009,332,Brazil,pt-BR,,http://books.google.com/books/content?id=1YtOAQAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
2mf_twEACAAJ,Os Índios antes do Brasil,,Carlos Fausto,2005,95,Historia,pt-BR,,
f90MAQAAMAAJ,"Meio ambiente, saneamento e engenharia no império e na primeira república",,Simone Fadel,2009,260,Baixada Fluminense (Brazil),pt-BR,,http://books.google.com/books/content?id=f90MAQAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
OHY2AgAACAAJ,Tratado da quinta monarquia,,Sebastião de Paiva (Frei.),2006,401,História,pt-BR,,
OmkrAAAAIAAJ,"História do movimento da ""Presença""",seguida de uma antologia,João Gaspar Simões,1958,295,"Presença (Coimbra, Portugal)",pt-BR,,
31_ttwEACAAJ,O Convento Santo Antônio do Rio de Janeiro,"sua história, memórias, tradições",Frei Basílio OFM. Röwer,2008,361,History,pt-BR,,
1ee7swEACAAJ,A tele-visão colectiva da história,possível usina para uma linguagem gráfica e simbólica,Cristine Nogueira,2009,194,Historia,pt-BR,,
c9yzAQAACAAJ,Austrália,rumo ao Terceiro Milênio,Marisa Pinto de Carvalho,2009,110,Historia,pt-BR,,
36_VXwAACAAJ,"História, verdade e tempo",,Marlon Salomon,2011,374,,pt-BR,"Esta obra apresenta textos de diversos autores, com formações disciplinares diferentes, como filósofos e historiadores, vindos de países variados, com diferentes posições em relação aos temas centrais discutidos aqui - a relação entre história, verdade, tempo e escrita ou narrativa histórica. Assim, o livro objetiva mostrar diferentes abordagens sobre o tema.",
XjnRtAEACAAJ,A missão pimenta bueno,volumen I.,Wagner Pimenta-Bueno,2009,430,Historia,pt-BR,,
bsNjtwAACAAJ,A missão Pimenta Bueno,,,2007,0,Brazil,pt-BR,,
